Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
DFS-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
DFT,Finance,Real Estate,55.75,11.12,0.424,2.62,1.66,4.7,185.40M,62.99M,1.55B,19.33 - 29.00,"
</"
DFT-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.15 - 27.12,"
</"
DFT-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.98 - 27.99,"
</"
DG,Consumer Services,Department/Specialty Retail Stores,16.84,0.95,2.745,N/A,3.21,0.95,1.94B,328.72M,15.21B,39.73 - 56.04,"
</"
DGI,Consumer Services,Telecommunications Equipment,N/A,3.57,N/A,N/A,2.53,3.34,195.40M,47.00M,1.36B,11.61 - 30.50,"
</"
DGX,Health Care,Medical Specialities,16.77,1.22,3.455,1.4,2.2,1.24,1.60B,158.41M,9.21B,53.25 - 64.87,"
</"
DHF,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,10.42,N/A,N/A,N/A,N/A,N/A,3.75 - 4.70,"
</"
DHG,,,N/A,N/A,N/A,8.06,N/A,N/A,N/A,N/A,N/A,14.25 - 16.49,"
</"
DHI,Capital Goods,Homebuilding,8.46,4.83,2.797,1.27,2.1,1.61,353.10M,321.11M,7.50B,13.45 - 24.03,"
</"
DHR,Capital Goods,Industrial Machinery/Components,17.84,1.34,3.36,0.17,2.17,2.26,3.94B,687.50M,41.57B,49.18 - 61.49,"
</"
DHT,Transportation,Marine Transportation,N/A,N/A,N/A,10.96,0.23,0.43,45.60M,9.14M,41.30M,3.54 - 18.36,"
</"
DHX,Miscellaneous,Business Services,15.95,0.93,0.59,N/A,2.87,2.8,71.30M,58.15M,556.50M,6.95 - 10.99,"
</"
DIN,Miscellaneous,Multi-Sector Companies,10.18,1.71,7.198,N/A,5.7,1.45,272.00M,18.43M,1.36B,41.49 - 74.23,"
</"
DIS,Consumer Services,Services-Misc. Amusement & Recreation,17.21,1.39,3.13,1.39,2.41,2.26,10.97B,1.77B,96.74B,39.36 - 54.87,"
</"
DK,Consumer Durables,Automotive Aftermarket,9.62,0.88,3.531,1.78,2.37,0.24,462.00M,59.50M,2.04B,12.87 - 34.42,"
</"
DKL,,,54.28,2.72,0.477,N/A,5.17,0.65,27.90M,24.00M,626.60M,17.65 - 25.52,"
</"
DKS,Consumer Services,Other Specialty Stores,22.04,1.26,2.159,1.05,3.42,1.03,618.50M,122.65M,5.88B,41.79 - 54.24,"
</"
DKT,,,N/A,N/A,N/A,7.07,N/A,N/A,N/A,N/A,N/A,24.75 - 28.60,"
</"
DL,Consumer Services,Other Consumer Services,21.52,0.7,0.243,9.18,2.72,3.37,11.70M,33.60M,170.00M,2.25 - 5.40,"
</"
DLB,Technology,Radio And Television Broadcasting And Communications Equipment,14.1,1.35,2.291,12.38,2.49,3.56,376.00M,102.35M,3.31B,28.66 - 45.83,"
</"
DLPH,,,10.23,0.51,3.778,N/A,5.1,0.78,2.20B,317.54M,12.45B,24.86 - 39.98,"
</"
DLR,Consumer Services,Real Estate Investment Trusts,46.32,1.59,1.466,4.3,2.88,6.94,699.70M,123.35M,8.41B,59.25 - 80.59,"
</"
DLR-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.40 - 27.99,"
</"
DLR-F,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
DLX,Consumer Durables,Publishing,11.08,1.33,3.32,2.72,4.3,1.23,378.50M,50.65M,1.88B,21.40 - 38.59,"
</"
DM,Miscellaneous,Business Services,N/A,N/A,N/A,N/A,0.49,0.39,42.50M,30.32M,104.30M,3.12 - 10.87,"
</"
DMD,Technology,EDP Services,N/A,1,N/A,N/A,1.53,1.99,65.20M,85.18M,723.20M,5.85 - 12.50,"
</"
DMO,,,N/A,N/A,N/A,10.61,N/A,N/A,N/A,N/A,N/A,20.53 - 27.56,"
</"
DNB,Finance,Finance: Consumer Services,13.13,0.86,6.208,1.86,N/A,2.14,527.40M,44.57M,3.69B,62.62 - 86.52,"
</"
DNI,,,N/A,N/A,N/A,11.21,N/A,N/A,N/A,N/A,N/A,3.15 - 14.65,"
</"
DNP,Finance,Closed-End Fund - Equity,8.57,N/A,1.164,7.16,1.18,17.65,N/A,243.22M,2.42B,8.78 - 11.60,"
</"
DNR,Energy,Oil & Gas Production,15.75,4.88,1.183,N/A,1.38,2.95,1.44B,387.51M,7.32B,13.13 - 21.37,"
</"
DNY,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,0.09,0.96,30.8,N/A,4.16M,73.20M,13.65 - 18.10,"
</"
DO,Energy,Oil & Gas Production,13.88,1.15,5.41,4.66,2.3,3.56,1.30B,139.04M,10.61B,55.83 - 75.75,"
</"
DOLE,Consumer Non-Durables,Farming/Seeds/Milling,14.08,1.47,0.791,N/A,1.09,0.14,285.10M,87.76M,983.80M,8.29 - 15.19,"
</"
DOM,Energy,Coal Mining,7.2,N/A,0.639,11.72,3.01,5.92,N/A,7.86M,36.70M,2.85 - 11.25,"
</"
DOV,Technology,Industrial Machinery/Components,15.69,1,4.41,1.92,2.49,1.51,1.62B,177.25M,12.47B,50.27 - 69.72,"
</"
DOW,Basic Industries,Major Chemicals,24.86,2.06,1.295,3.76,1.95,0.68,6.64B,1.20B,39.08B,27.45 - 36.08,"
</"
DOX,Technology,EDP Services,14.93,1.35,2.391,0.73,1.87,1.77,604.40M,162.18M,5.79B,28.16 - 36.26,"
</"
DPD,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,7.62,N/A,N/A,N/A,N/A,N/A,12.45 - 14.46,"
</"
DPG,,,N/A,N/A,N/A,7.55,N/A,N/A,N/A,N/A,N/A,16.52 - 19.78,"
</"
DPM,Public Utilities,Natural Gas Distribution,36.17,1.51,1.247,4.46,2.41,2.7,156.60M,61.09M,2.75B,36.47 - 49.50,"
</"
DPO,,,N/A,N/A,N/A,7.73,N/A,N/A,N/A,N/A,N/A,9.72 - 11.45,"
</"
DPS,Consumer Non-Durables,Beverages (Production/Distribution),15.42,2.19,2.923,3.02,4.05,1.57,1.31B,208.11M,9.42B,37.36 - 46.06,"
</"
DPZ,Consumer Non-Durables,Food Distributors,26.09,1.67,1.785,6.44,N/A,1.61,309.50M,56.77M,2.71B,28.17 - 47.25,"
</"
DQ,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.3,0.67,N/A,7.01M,80.60M,0.68 - 16.70,"
</"
DRC,Energy,Industrial Machinery/Components,27.88,0.69,2.19,N/A,4.62,1.76,421.70M,75.67M,4.71B,41.01 - 61.73,"
</"
DRD,,,8.49,N/A,0.95,1.51,1.62,1.46,43.40M,37.91M,312.40M,5.35 - 8.38,"
</"
DRE,Consumer Services,Real Estate Investment Trusts,N/A,4.8,N/A,4.41,2.16,3.82,422.70M,275.37M,4.28B,12.71 - 16.00,"
</"
DRE-J,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.59 - 25.79,"
</"
DRE-K,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.55 - 25.85,"
</"
DRE-L,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.65 - 26.58,"
</"
DRE-O,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.20 - 27.34,"
</"
DRH,Consumer Services,Real Estate Investment Trusts,N/A,0.93,N/A,3.51,1.05,2.48,166.10M,195.17M,1.78B,8.11 - 11.01,"
</"
DRI,Consumer Services,Restaurants,13.29,1.34,3.5,4.15,3.23,0.73,1.10B,129.36M,6.06B,44.12 - 57.93,"
</"
DRL,Finance,Commercial Banks,N/A,N/A,N/A,N/A,0.18,0.64,N/A,128.41M,88.60M,0.52 - 2.00,"
</"
DRQ,Energy,Metal Fabrications,28.25,1.43,2.87,N/A,3.18,4.58,187.10M,40.44M,3.31B,57.27 - 83.37,"
</"
DRU,Public Utilities,Electric Utilities: Central,13.35,N/A,2.033,7.71,1.32,1.17,4.00B,574.61M,15.77B,26.57 - 29.74,"
</"
DSM,Finance,Closed-End Fund - Debt,5.94,N/A,1.591,6.1,1.07,14.51,N/A,48.89M,464.90M,8.15 - 9.90,"
</"
DST,Technology,EDP Services,9.34,1.79,7.166,1.2,2.7,1.19,359.80M,45.11M,3.01B,47.88 - 67.88,"
</"
DSU,Finance,Closed-End Fund - Debt,8.03,N/A,0.554,7.51,1.06,11.77,N/A,108.22M,481.60M,3.91 - 4.62,"
</"
DSW,Consumer Services,Clothing/Shoe/Accessory Stores,21.71,1.32,3.083,4.29,3.48,1.38,284.70M,44.74M,3.02B,49.99 - 72.00,"
</"
DSX,Transportation,Marine Transportation,10.14,N/A,0.86,N/A,0.56,3.06,130.30M,80.93M,712.20M,5.89 - 10.19,"
</"
DTE,Public Utilities,Electric Utilities: Central,15.98,3.19,3.961,3.82,1.47,1.26,2.28B,172.08M,11.01B,52.76 - 63.48,"
</"
DTF,Finance,Closed-End Fund - Debt,8.5,N/A,2.055,4.81,1,15.75,N/A,8.51M,149.82M,16.06 - 19.15,"
</"
DTK,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.82,N/A,N/A,N/A,N/A,N/A,23.55 - 27.99,"
</"
DTQ,,,6.45,N/A,3.961,0.86,0.6,0.51,2.28B,172.08M,4.43B,0.00 - 0.00,"
</"
DTT,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.49,N/A,N/A,N/A,N/A,N/A,21.68 - 25.81,"
</"
DTZ,,,N/A,N/A,N/A,5.9,N/A,N/A,N/A,N/A,N/A,26.59 - 29.42,"
</"
DUA,,,N/A,N/A,N/A,6.28,N/A,N/A,N/A,N/A,N/A,20.92 - 25.40,"
</"
DUC,Finance,Closed-End Fund - Equity,12.67,N/A,0.975,6.8,1.04,16.73,N/A,27.39M,342.40M,11.51 - 12.78,"
</"
DUF,Finance,Investment Bankers/Brokers/Service,23.37,1.27,0.68,2.27,1.77,1.43,80.90M,40.44M,640.10M,11.36 - 16.50,"
</"
DUK,Public Utilities,Power Generation,21.64,5.47,3.177,4.41,1.18,2.85,6.48B,704.24M,48.48B,59.63 - 71.13,"
</"
DUKH,,,7.85,N/A,3.177,N/A,0.43,1.03,6.48B,704.25M,17.55B,0.00 - 0.00,"
</"
DV,Consumer Services,Other Consumer Services,14.48,1.38,1.738,1.27,1.17,0.78,363.30M,63.47M,1.63B,18.15 - 40.00,"
</"
DVA,Health Care,Hospital/Nursing Management,20.94,1.4,5.511,N/A,4.34,1.41,1.64B,95.40M,11.13B,77.81 - 116.50,"
</"
DVD,Consumer Services,Services-Misc. Amusement & Recreation,13.71,2.36,0.124,2.35,1.3,1.34,12.50M,36.86M,63.40M,1.17 - 1.88,"
</"
DVM,Finance,Closed-End Fund - Equity,12.36,N/A,1.159,6.42,0.97,46.15,N/A,12.62M,182.40M,12.44 - 15.62,"
</"
DVN,Energy,Oil & Gas Production,35.41,5.22,1.615,1.4,1.06,2.55,5.15B,405.00M,23.50B,50.89 - 76.34,"
</"
DVR,Energy,Oilfield Services/Equipment,N/A,N/A,N/A,N/A,0.63,0.41,N/A,97.22M,188.60M,1.00 - 4.00,"
</"
DW,Capital Goods,Auto Parts:O.E.M.,22.7,1.44,1.613,5.46,2.58,0.95,85.80M,22.39M,822.30M,25.00 - 37.42,"
</"
DWRE,,,N/A,N/A,N/A,N/A,10.6,13.16,N/A,29.72M,860.90M,0.00 - 0.00,"
</"
DX,Consumer Services,Real Estate Investment Trusts,7.37,N/A,1.371,11.37,0.98,6.75,N/A,54.38M,553.00M,8.66 - 10.98,"
</"
DX-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
DXB,Finance,Major Banks,N/A,N/A,N/A,6.1,N/A,N/A,N/A,N/A,N/A,21.41 - 27.10,"
</"
DY,Public Utilities,Water Supply,18.92,2.56,1.109,N/A,1.74,0.57,127.20M,32.60M,682.90M,13.04 - 23.96,"
</"
DYN,Public Utilities,Electric Utilities: Central,N/A,0.53,N/A,N/A,N/A,1.5,130.00M,100.00M,2.03B,0.30 - 6.92,"
</"
DYN.W,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
E,Energy,Oil & Gas Production,9.18,1.54,5.44,5.47,1.19,0.55,39.02B,1.81B,91.71B,36.59 - 52.27,"
</"
EAA,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,5.31,N/A,N/A,N/A,N/A,N/A,25.81 - 28.46,"
</"
EAB,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
EAT,Consumer Services,Restaurants,16.15,1.03,2.027,2.2,9.39,0.84,378.70M,72.56M,2.46B,26.35 - 36.24,"
</"
EBF,Consumer Services,Office Equipment/Supplies/Services,19.37,0.89,0.806,5.61,1.11,0.77,47.80M,26.15M,414.80M,13.70 - 17.74,"
</"
EBR,Public Utilities,Electric Utilities: Central,2.77,N/A,1.282,18.42,0.12,0.29,4.18B,1.35B,4.84B,2.92 - 11.45,"
</"
EBR.B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.44 - 16.16,"
</"
EBS,Consumer Durables,Major Pharmaceuticals,16.36,2.43,0.981,N/A,1.36,1.95,72.60M,35.85M,584.40M,12.50 - 18.34,"
</"
EC,Energy,Oil & Gas Production,15,1.4,4.22,5.39,4.28,3.35,17.00B,2.06B,130.70B,51.64 - 67.92,"
</"
ECA,Energy,Oil & Gas Production,N/A,0.37,N/A,4.13,2.58,2.37,3.04B,736.27M,14.19B,17.45 - 24.29,"
</"
ECL,Basic Industries,Package Goods/Cosmetics,37.28,1.51,1.942,1.15,3.57,1.99,1.96B,292.91M,21.64B,58.75 - 74.74,"
</"
ECT,Energy,Oil & Gas Production,8.91,N/A,2.105,12.77,1.21,13.86,N/A,17.61M,331.70M,14.87 - 23.55,"
</"
ED,Public Utilities,Power Generation,14.93,6.19,3.81,4.25,1.41,1.36,3.28B,292.87M,16.71B,53.63 - 65.98,"
</"
EDD,,,N/A,N/A,N/A,6.32,N/A,N/A,N/A,N/A,N/A,14.28 - 17.58,"
</"
EDE,Public Utilities,Electric Utilities: Central,16.43,1.66,1.291,4.71,1.25,1.6,192.00M,42.42M,909.50M,19.51 - 22.04,"
</"
EDF,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,8.47,N/A,N/A,N/A,N/A,N/A,22.00 - 26.28,"
</"
EDG,,,N/A,N/A,N/A,N/A,2.76,N/A,N/A,42.39M,342.10M,0.00 - 0.00,"
</"
EDI,,,N/A,N/A,N/A,0.99,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
EDN,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,N/A,0.74,0.14,N/A,44.84M,127.80M,1.65 - 6.61,"
</"
EDR,Consumer Services,Real Estate Investment Trusts,N/A,1.87,N/A,3.44,1.59,8.38,50.40M,113.04M,1.24B,9.72 - 11.81,"
</"
EDT,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,27.03 - 30.95,"
</"
EDU,Consumer Services,Other Consumer Services,22.55,0.83,0.757,1.76,3.35,3.06,130.60M,157.66M,2.77B,9.41 - 29.19,"
</"
EE,Public Utilities,Electric Utilities: Central,14.82,3.96,2.273,2.88,1.63,1.58,301.50M,40.12M,1.36B,29.17 - 35.01,"
</"
EEA,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,3.86,N/A,N/A,N/A,N/A,N/A,5.64 - 7.63,"
</"
EEP,Energy,Natural Gas Distribution,15.66,5.04,1.915,5.41,2.14,1.29,1.03B,302.54M,9.06B,26.88 - 33.00,"
</"
EEQ,Energy,Oil & Gas Production,25.38,10.16,1.201,N/A,2.06,N/A,N/A,40.51M,1.23B,27.82 - 35.56,"
</"
EFC,Finance,Real Estate,5.58,N/A,4.281,10.46,0.98,8.92,N/A,20.53M,497.80M,18.64 - 24.24,"
</"
EFM,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,5.67,N/A,N/A,N/A,N/A,N/A,26.17 - 30.00,"
</"
EFR,Finance,Closed-End Fund - Debt,15.97,N/A,1.046,6.46,1.08,12.71,N/A,33.79M,568.00M,14.76 - 16.90,"
</"
EFT,Finance,Closed-End Fund - Debt,9.1,N/A,1.92,5.96,1.13,12.47,N/A,37.55M,657.80M,14.72 - 19.05,"
</"
EFX,Finance,Finance: Consumer Services,24.02,1.48,2.444,1.23,3.77,3.32,683.40M,119.60M,7.09B,39.15 - 59.30,"
</"
EGF,Finance,Closed-End Fund - Equity,21.63,N/A,0.726,5.29,0.97,16.26,N/A,11.00M,172.90M,15.02 - 16.17,"
</"
EGL,,,N/A,N/A,N/A,N/A,1.02,0.17,156.50M,16.58M,317.40M,0.00 - 0.00,"
</"
EGN,Energy,Oil & Gas Production,13.72,1.18,3.51,1.16,1.3,2.15,868.00M,72.13M,3.45B,40.13 - 58.24,"
</"
EGO,Basic Industries,Precious Metals,26.05,0.85,0.43,1.15,1.37,7.28,583.30M,713.14M,8.09B,9.78 - 16.20,"
</"
EGP,Consumer Services,Real Estate Investment Trusts,59.05,3.07,0.949,3.75,3.57,8.79,115.50M,29.00M,1.64B,46.75 - 56.91,"
</"
EGY,Energy,Oil & Gas Production,17.69,3.37,0.48,N/A,1.93,2.34,160.30M,57.85M,494.60M,6.27 - 10.32,"
</"
EHI,Finance,Closed-End Fund - Debt,41.26,N/A,0.341,8.19,1.1,10.21,N/A,30.86M,432.30M,12.41 - 14.25,"
</"
EIG,Finance,Property-Casualty Insurers,17.64,10.78,1.208,1.13,1.38,1.17,48.50M,30.72M,661.50M,15.89 - 21.90,"
</"
EIX,Public Utilities,Electric Utilities: Central,N/A,15.89,N/A,2.72,1.57,1.19,3.61B,325.81M,15.70B,40.31 - 48.24,"
</"
EJ,Finance,Real Estate,N/A,N/A,N/A,3.01,0.81,1.38,N/A,118.03M,574.80M,2.95 - 7.61,"
</"
EL,Consumer Non-Durables,Package Goods/Cosmetics,27.47,1.88,2.218,N/A,7.8,2.41,1.75B,387.20M,24.29B,49.81 - 65.60,"
</"
ELA,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,5.46,N/A,N/A,N/A,N/A,N/A,26.27 - 28.57,"
</"
ELB,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,5.39,N/A,N/A,N/A,N/A,N/A,25.66 - 29.34,"
</"
ELJ,,,N/A,N/A,N/A,2.5,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ELLI,,,27.63,0.52,0.725,N/A,3.24,5.67,22.10M,25.66M,537.60M,0.00 - 0.00,"
</"
ELN,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,10.35,4.68,189.10M,592.92M,6.28B,9.64 - 15.27,"
</"
ELP,Public Utilities,Electric Utilities: Central,9.11,6.06,1.773,3.89,0.72,1.1,941.20M,273.64M,4.59B,12.53 - 26.31,"
</"
ELS,Consumer Services,Real Estate Investment Trusts,58.98,1.73,1.214,2.45,4.1,4.6,358.20M,45.16M,3.25B,63.18 - 73.40,"
</"
ELS-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ELX,Technology,Computer Communications Equipment,N/A,6.98,N/A,N/A,1.18,1.36,87.40M,89.64M,626.60M,5.85 - 11.19,"
</"
ELY,Consumer Non-Durables,Recreational Products/Toys,N/A,N/A,N/A,0.61,1.45,0.56,N/A,71.00M,462.90M,5.17 - 7.29,"
</"
EMC,Technology,Electronic Components,20.01,1.03,1.23,N/A,2.32,2.39,5.60B,2.11B,52.36B,22.77 - 30.00,"
</"
EMD,Finance,Credit Services,N/A,N/A,N/A,6.4,N/A,N/A,N/A,N/A,N/A,13.56 - 16.70,"
</"
EME,Capital Goods,Engineering & Construction,17.93,1.43,2.026,1.27,1.83,0.39,292.90M,66.53M,2.44B,25.32 - 37.17,"
</"
EMF,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,1.39,1.08,37.32,N/A,18.09M,377.80M,16.28 - 21.56,"
</"
EMN,Basic Industries,Major Chemicals,18.62,1.23,3.822,1.52,3.63,1.43,1.41B,153.36M,11.27B,41.54 - 72.72,"
</"
EMN.W,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
EMO,,,N/A,N/A,N/A,5.89,N/A,N/A,N/A,N/A,N/A,17.93 - 23.93,"
</"
EMQ,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,5.87,N/A,N/A,N/A,N/A,N/A,25.20 - 26.98,"
</"
EMR,Energy,Consumer Electronics/Appliances,21.44,1.71,2.67,2.81,4.03,1.7,4.83B,724.14M,42.06B,43.59 - 57.90,"
</"
EMZ,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,5.43,N/A,N/A,N/A,N/A,N/A,25.86 - 29.56,"
</"
ENB,Energy,Natural Gas Distribution,53.93,2.15,0.811,2.59,5.08,1.35,3.32B,799.86M,35.50B,36.82 - 44.87,"
</"
END,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,2.37,1.81,86.80M,45.83M,253.00M,4.66 - 13.48,"
</"
ENH,Finance,Property-Casualty Insurers,13.69,6.75,3.136,2.89,0.67,0.85,N/A,43.28M,1.88B,33.92 - 43.10,"
</"
ENH-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.76 - 27.90,"
</"
ENH-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.35 - 27.78,"
</"
ENI,Public Utilities,Electric Utilities: Central,18.71,2.42,1.05,2.91,1.6,0.93,4.41B,653.05M,12.96B,15.50 - 20.87,"
</"
ENJ,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ENL,Consumer Services,Publishing,15.72,2.45,1.972,3.86,6.33,N/A,N/A,367.85M,11.80B,20.11 - 31.18,"
</"
ENR,Energy,Industrial Machinery/Components,13.99,1.21,6.22,0.92,2.59,1.18,840.30M,61.90M,5.45B,64.36 - 88.84,"
</"
ENS,Consumer Non-Durables,Telecommunications Equipment,11.53,1.67,3.55,N/A,1.76,0.86,309.30M,48.49M,2.01B,30.02 - 41.48,"
</"
ENV,Miscellaneous,Business Services,201.59,1.09,0.069,N/A,3.63,3.14,15.40M,32.34M,471.50M,10.79 - 14.00,"
</"
ENZ,Health Care,Medical Specialities,N/A,N/A,N/A,N/A,2.48,1.1,N/A,39.27M,112.70M,1.33 - 3.16,"
</"
EOC,Public Utilities,Electric Utilities: Central,20,343.8,2.58,3.04,2.68,2.84,1.94B,273.39M,14.16B,44.53 - 55.96,"
</"
EOD,,,N/A,N/A,N/A,13.09,N/A,N/A,N/A,N/A,N/A,6.89 - 9.33,"
</"
EOG,Energy,Oil & Gas Production,28.21,0.91,4.431,0.54,2.45,3.17,5.53B,270.88M,34.84B,82.48 - 129.43,"
</"
EOI,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,9.21,N/A,N/A,N/A,N/A,N/A,10.04 - 11.33,"
</"
EOS,Finance,Closed-End Fund - Equity,33.37,N/A,0.329,9.64,0.9,66.15,N/A,48.50M,534.90M,9.98 - 11.30,"
</"
EOT,,,N/A,N/A,N/A,4.77,N/A,N/A,N/A,N/A,N/A,20.08 - 25.30,"
</"
EP-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.00 - 57.71,"
</"
EPAM,,,17.49,0.74,1.185,N/A,3.39,2.24,73.40M,43.53M,950.20M,13.25 - 23.61,"
</"
EPB,Public Utilities,Natural Gas Distribution,15.04,2.64,2.77,5.4,4.53,5.94,1.05B,216.00M,8.94B,30.64 - 41.81,"
</"
EPD,Public Utilities,Natural Gas Distribution,19.87,2.96,2.852,4.54,3.9,1.17,4.29B,891.70M,50.30B,45.67 - 56.83,"
</"
EPL,Energy,Oil & Gas Production,35.45,2.83,0.69,N/A,1.84,2.46,201.60M,39.09M,970.20M,14.56 - 25.15,"
</"
EPR,Consumer Services,Real Estate Investment Trusts,20.75,1.85,2.258,6.4,1.5,6.89,270.50M,46.84M,2.22B,40.04 - 48.92,"
</"
EPR-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.61 - 22.29,"
</"
EPR-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.96 - 31.08,"
</"
EPR-F,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
EQM,,,26.82,3,1.32,1.98,2.72,9.78,79.50M,34.68M,1.23B,0.00 - 0.00,"
</"
EQR,Consumer Services,Real Estate Investment Trusts,64.26,2.3,0.862,3.22,2.82,8.19,1.35B,321.67M,17.60B,53.25 - 65.72,"
</"
EQS,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,N/A,0.75,110.52,N/A,10.55M,23.20M,1.81 - 2.69,"
</"
EQT,Public Utilities,Oil & Gas Production,48.7,1.17,1.22,1.48,2.49,5.41,943.60M,149.61M,8.91B,43.69 - 62.74,"
</"
EQU,Energy,Oil & Gas Production,27.89,N/A,0.109,N/A,0.45,1.07,49.30M,35.17M,106.20M,2.39 - 4.19,"
</"
EQY,Consumer Services,Real Estate Investment Trusts,105.16,3.98,0.215,3.89,1.82,8.26,182.70M,118.81M,2.72B,18.62 - 22.76,"
</"
ERF,Energy,Oil & Gas Production,N/A,N/A,N/A,12.11,0.8,2.36,614.90M,198.18M,2.62B,11.35 - 24.70,"
</"
ERJ,Capital Goods,Aerospace,44.8,1.13,0.736,1.25,1.88,1.02,419.80M,181.42M,5.98B,22.57 - 35.55,"
</"
ES,Basic Industries,Environmental Services,N/A,0.92,N/A,N/A,1.11,0.19,25.60M,90.26M,348.40M,1.43 - 5.43,"
</"
ESC,Health Care,Hospital/Nursing Management,N/A,N/A,N/A,N/A,5.28,0.94,226.90M,45.12M,1.23B,14.24 - 27.74,"
</"
ESD,Finance,Closed-End Fund - Debt,13.76,N/A,1.61,6.41,1.04,14.93,N/A,30.74M,680.20M,18.90 - 22.84,"
</"
ESE,Consumer Durables,Telecommunications Equipment,23.8,1.15,1.73,0.78,1.73,1.59,90.20M,26.65M,1.10B,31.85 - 42.42,"
</"
ESI,Consumer Services,Other Consumer Services,2.88,0.89,5.85,N/A,3.09,0.31,355.00M,23.32M,379.70M,11.69 - 77.00,"
</"
ESL,Capital Goods,Industrial Machinery/Components,18.44,0.81,3.6,N/A,1.27,1.03,341.70M,30.88M,2.08B,51.13 - 76.86,"
</"
ESS,Consumer Services,Real Estate Investment Trusts,59.03,2.33,2.605,2.86,3.45,10.5,349.30M,36.53M,5.64B,136.38 - 161.53,"
</"
ESS-H,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.50 - 28.05,"
</"
ESV,Energy,Oil & Gas Production,12.49,0.4,5.091,2.36,1.26,3.5,1.96B,232.25M,14.95B,41.63 - 65.19,"
</"
ET,Finance,Investment Brokerage - National,N/A,6.25,N/A,N/A,5.43,5.6,7.40M,68.09M,1.50B,0.00 - 0.00,"
</"
ETB,Finance,Closed-End Fund - Equity,10.52,N/A,1.378,7.45,0.96,40.48,N/A,24.66M,356.30M,12.47 - 16.29,"
</"
ETE,Public Utilities,Natural Gas Distribution,37.7,1.61,1.341,3.71,6.44,1.76,2.06B,279.95M,14.27B,34.00 - 50.68,"
</"
