Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
CNTF,Miscellaneous,Business Services,N/A,N/A,N/A,N/A,0.2,0.33,11.70M,52.97M,62.50M,0.87 - 2.70,"
</"
CNTY,Consumer Services,Hotels/Resorts,17.56,0.43,0.168,N/A,0.6,0.99,10.50M,24.11M,72.10M,2.46 - 3.19,"
</"
CNYD,Consumer Services,Advertising,5.64,N/A,0.7,N/A,0.1,0.52,14.00M,3.93M,14.80M,0.37 - 4.98,"
</"
COA,,,N/A,N/A,N/A,N/A,5.09,0.75,N/A,28.61M,152.50M,0.00 - 0.00,"
</"
COBK,Finance,Savings Institutions,397.06,N/A,0.034,N/A,0.73,4.13,N/A,3.77M,50.50M,11.50 - 13.53,"
</"
COBR,Technology,Radio And Television Broadcasting And Communications Equipment,7.01,N/A,0.578,N/A,0.69,0.22,7.40M,6.60M,26.60M,3.28 - 5.89,"
</"
COBZ,Finance,Major Banks,14.84,1.37,0.55,1.1,1.27,2.49,N/A,39.05M,321.00M,5.22 - 8.31,"
</"
COCO,Consumer Services,Other Consumer Services,223.64,0.48,0.011,N/A,0.37,0.13,133.30M,85.77M,206.70M,1.74 - 5.21,"
</"
COGO,Capital Goods,Electrical Products,N/A,0.33,N/A,N/A,0.32,0.11,16.50M,33.87M,80.60M,1.63 - 3.67,"
</"
COHR,Capital Goods,Biotechnology: Laboratory Analytical Instruments,22.25,1.31,2.49,1.8,1.96,1.73,118.00M,23.76M,1.35B,39.08 - 59.84,"
</"
COHU,Capital Goods,Electrical Products,N/A,1.71,N/A,2.29,0.92,1.16,N/A,24.57M,266.60M,7.96 - 12.83,"
</"
COKE,Consumer Non-Durables,Beverages (Production/Distribution),21.98,N/A,2.945,1.54,3.91,0.37,151.90M,9.23M,599.90M,60.05 - 70.93,"
</"
COLB,Finance,Major Banks,17.41,1.49,1.16,4.85,1.05,3.54,N/A,39.69M,812.40M,16.18 - 23.52,"
</"
COLM,Consumer Non-Durables,Apparel,17.91,1.55,2.852,1.72,1.54,1.02,185.40M,33.93M,1.72B,45.37 - 58.47,"
</"
CONE,,,N/A,N/A,N/A,N/A,N/A,N/A,106.40M,N/A,N/A,0.00 - 0.00,"
</"
CONN,Consumer Services,Consumer Electronics/Video Chains,22.01,1.2,1.292,N/A,2.34,1.11,87.60M,32.70M,932.60M,10.87 - 31.35,"
</"
COOL,Technology,Computer Software: Prepackaged Software,5.52,N/A,0.11,N/A,0.84,0.19,5.60M,40.46M,24.68M,0.58 - 3.04,"
</"
CORE,Consumer Non-Durables,Food Distributors,19.82,0.79,2.529,1.78,1.44,0.08,75.90M,11.52M,586.80M,34.78 - 51.85,"
</"
CORT,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,3.02,112.23,N/A,99.81M,211.60M,1.27 - 4.90,"
</"
COSI,Consumer Services,Restaurants,N/A,N/A,N/A,N/A,3.79,0.6,N/A,72.89M,60.50M,0.52 - 1.30,"
</"
COST,Consumer Services,Department/Specialty Retail Stores,24.88,1.74,4.113,7.88,3.51,0.44,3.77B,435.63M,45.37B,81.98 - 105.97,"
</"
COWN,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A,0.6,1.43,N/A,113.53M,305.40M,2.16 - 2.98,"
</"
CPAH,,,N/A,N/A,N/A,N/A,4.04,5.29,N/A,41.85M,83.70M,0.00 - 0.00,"
</"
CPBC,Finance,Major Banks,11.48,N/A,0.54,N/A,0.54,1.8,N/A,7.97M,50.10M,4.90 - 6.38,"
</"
CPGI,Consumer Durables,Containers/Packaging,7.23,N/A,0.159,N/A,0.43,0.35,12.00M,38.78M,44.60M,0.60 - 1.27,"
</"
CPHC,Consumer Services,Services-Misc. Amusement & Recreation,48.64,N/A,0.212,4.85,1.56,0.95,3.60M,4.15M,44.20M,8.97 - 14.26,"
</"
CPHD,Capital Goods,Biotechnology: Laboratory Analytical Instruments,N/A,98.06,N/A,N/A,9.71,7.26,13.40M,66.36M,2.44B,28.12 - 46.00,"
</"
CPIX,Consumer Durables,Major Pharmaceuticals,16.87,0.4,0.249,N/A,0.97,1.67,8.20M,19.12M,84.30M,4.03 - 8.02,"
</"
CPLA,Consumer Services,Other Consumer Services,9.37,4.19,2.916,N/A,2.27,0.82,78.50M,12.71M,348.80M,25.81 - 45.70,"
</"
CPLP,Transportation,Marine Transportation,99.28,3.21,0.083,8.48,0.9,3.52,102.80M,68.27M,559.10M,5.79 - 8.80,"
</"
CPNO,Public Utilities,Natural Gas Distribution,N/A,29.97,N/A,5.9,4.88,2.23,140.70M,78.94M,3.06B,24.24 - 39.37,"
</"
CPRT,Consumer Durables,Automotive Aftermarket,24.92,1.52,1.441,N/A,7.33,4.78,344.50M,124.78M,4.47B,22.58 - 37.47,"
</"
CPRX,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,1.93,N/A,N/A,34.71M,17.70M,0.37 - 2.27,"
</"
CPSI,Technology,EDP Services,21.3,1.16,2.47,3.5,9.12,3.28,42.50M,11.08M,531.70M,44.95 - 64.00,"
</"
CPSL,Basic Industries,Steel/Iron Ore,N/A,N/A,N/A,N/A,0.07,0.08,N/A,3.86M,8.10M,1.30 - 7.56,"
</"
CPSS,Finance,Finance: Consumer Services,33.08,1.36,0.208,N/A,N/A,1.96,N/A,19.64M,134.70M,0.91 - 7.23,"
</"
CPST,Energy,Industrial Machinery/Components,N/A,N/A,N/A,N/A,5.17,2.2,N/A,304.38M,264.81M,0.73 - 1.53,"
</"
CPTS,Health Care,Medical/Dental Instruments,N/A,15.3,N/A,N/A,4.07,4.9,9.90M,31.67M,692.90M,12.74 - 22.50,"
</"
CPWR,Technology,Computer Software: Prepackaged Software,35.21,4.27,0.33,N/A,2.36,2.55,164.80M,212.82M,2.51B,7.97 - 11.80,"
</"
CRAI,Miscellaneous,Other Consumer Services,38.89,1.7,0.478,N/A,0.7,0.68,27.00M,10.12M,192.30M,13.41 - 27.93,"
</"
CRAY,Technology,Computer Manufacturing,3.95,0.21,4.701,N/A,2.12,2.12,38.30M,37.04M,691.20M,6.55 - 18.86,"
</"
CRBC,Finance,Major Banks,2.37,4.16,8.61,N/A,0.75,2.18,N/A,39.49M,811.50M,13.10 - 20.98,"
</"
CRDC,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,6.83,15.3,N/A,36.95M,52.10M,0.67 - 2.30,"
</"
CRDS,,,N/A,N/A,N/A,N/A,12.98,1.85,N/A,11.66M,26.70M,2.06 - 6.38,"
</"
CREE,Technology,Semiconductors,89.9,2.03,0.48,N/A,1.9,3.99,209.80M,115.95M,5.10B,22.25 - 43.79,"
</"
CREG,Miscellaneous,Business Services,8.84,N/A,0.121,N/A,0.48,34.82,N/A,50.19M,53.20M,0.78 - 3.30,"
</"
CRESW,Consumer Non-Durables,Farming/Seeds/Milling,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.04 - 0.12,"
</"
CRESY,Consumer Non-Durables,Farming/Seeds/Milling,16.47,0.67,0.58,5.28,0.96,0.71,181.40M,55.06M,530.20M,6.69 - 13.65,"
</"
CRFN,Finance,Major Banks,N/A,N/A,N/A,N/A,1.03,3.58,N/A,28.38M,122.30M,3.15 - 6.28,"
</"
CRIS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),122.31,N/A,0.026,N/A,5.56,8.66,3.70M,79.97M,253.50M,2.98 - 5.60,"
</"
CRMB,,,N/A,N/A,N/A,N/A,2.24,0.82,N/A,11.80M,36.10M,2.00 - 4.11,"
</"
CRMBU,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
CRMBW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02 - 0.28,"
</"
CRME,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,26.52,N/A,61.05M,29.92M,0.24 - 2.69,"
</"
CRMT,Consumer Durables,Automotive Aftermarket,12.13,1.28,3.284,N/A,1.93,0.82,56.90M,9.01M,362.00M,35.81 - 49.20,"
</"
CRNT,Technology,Radio And Television Broadcasting And Communications Equipment,N/A,1.6,N/A,N/A,1.12,0.37,26.20M,36.50M,179.20M,3.91 - 9.76,"
</"
CROX,Consumer Non-Durables,Shoe Manufacturing,9.63,1.11,1.543,N/A,2.1,1.23,194.00M,91.00M,1.36B,12.00 - 22.59,"
</"
CRRB,Finance,Major Banks,631.11,N/A,0.009,N/A,0.62,0.69,N/A,2.57M,14.60M,2.99 - 5.94,"
</"
CRRC,Consumer Services,Publishing,14.05,N/A,0.862,6.94,0.96,0.53,39.60M,11.43M,139.50M,9.25 - 14.78,"
</"
CRTX,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,0.83,1.44,16.00M,26.31M,142.60M,3.10 - 7.99,"
</"
CRUS,Technology,Semiconductors,12.07,0.32,2.339,N/A,3.28,2.55,204.00M,64.36M,1.83B,20.28 - 45.49,"
</"
CRVL,Finance,Specialty Insurers,21.53,N/A,2.127,N/A,4.63,1.21,55.00M,11.12M,513.20M,39.46 - 51.38,"
</"
CRWN,Consumer Services,Television Services,10.96,N/A,0.167,N/A,2.51,1.9,263.20M,359.68M,683.40M,1.15 - 2.10,"
</"
CRWS,Basic Industries,Textiles,9.89,0.44,0.525,15.03,1.42,0.63,9.50M,9.81M,51.00M,3.57 - 6.60,"
</"
CRZO,Energy,Oil & Gas Production,19.69,0.5,1.091,N/A,1.53,2.72,251.30M,40.08M,867.00M,19.03 - 31.62,"
</"
CSBK,Finance,Savings Institutions,39.32,N/A,0.296,2.58,1.6,11.73,N/A,25.67M,304.70M,9.51 - 11.72,"
</"
CSCD,Capital Goods,Electrical Products,18.2,1.28,0.411,N/A,1.67,0.97,11.90M,14.21M,107.00M,3.45 - 7.53,"
</"
CSCO,Technology,Computer Communications Equipment,13.27,1.25,1.55,2.14,2.07,2.34,13.23B,5.31B,110.60B,14.96 - 21.30,"
</"
CSFL,Finance,Major Banks,12.31,2.46,0.719,0.45,0.97,2.33,N/A,30.08M,269.50M,6.54 - 9.22,"
</"
CSGP,Miscellaneous,Business Services,241.08,3.3,0.389,N/A,3.25,8.39,62.60M,28.26M,2.70B,56.49 - 96.06,"
</"
CSGS,Technology,EDP Services,13.73,2.67,1.371,N/A,1.94,0.8,162.70M,31.70M,593.70M,13.85 - 23.33,"
</"
CSII,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,11.17,3.51,N/A,20.70M,324.60M,8.24 - 16.15,"
</"
CSIQ,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.49,0.13,2.20M,43.22M,198.80M,1.95 - 4.74,"
</"
CSOD,Technology,Computer Software: Prepackaged Software,N/A,N/A,N/A,N/A,33.42,15.88,N/A,50.49M,1.71B,17.29 - 32.82,"
</"
CSPI,Technology,EDP Services,3.27,N/A,1.91,3.2,0.92,0.25,3.30M,3.39M,21.10M,3.58 - 6.80,"
</"
CSQ,,,N/A,N/A,N/A,8.08,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
CSRE,,,189.17,N/A,0.12,1.92,1.3,1.11,26.80M,49.88M,1.17B,11.99 - 24.36,"
</"
CSTE,,,17.43,N/A,1.09,N/A,3.07,2.27,58.20M,34.36M,652.90M,0.00 - 0.00,"
</"
CSTR,Consumer Services,Other Consumer Services,10.36,0.63,4.909,N/A,2.5,0.7,448.90M,29.57M,1.47B,40.50 - 71.82,"
</"
CSUN,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.31,0.07,N/A,14.88M,24.10M,1.03 - 3.18,"
</"
CSWC,Finance,Closed-End Fund - Equity,2.46,N/A,43.859,17.05,0.68,42.34,2.50M,3.80M,412.80M,82.46 - 118.50,"
</"
CTAS,Consumer Non-Durables,Apparel,17.54,1.62,2.41,1.51,2.5,1.25,710.40M,123.27M,5.23B,35.41 - 45.60,"
</"
CTBI,Finance,Major Banks,11.66,1.19,2.89,3.71,1.31,3.12,N/A,15.61M,532.80M,29.13 - 36.92,"
</"
CTCH,Consumer Services,Telecommunications Equipment,21.69,1.17,0.136,N/A,2.3,3.11,3.90M,24.34M,74.00M,1.98 - 3.41,"
</"
CTCM,Consumer Services,Broadcasting,465.22,0.72,0.023,4.86,2.43,2.18,271.00M,158.12M,1.68B,7.15 - 12.14,"
</"
CTCT,Technology,Advertising,18.48,0.89,0.815,N/A,2.38,1.89,22.60M,30.54M,444.40M,11.50 - 32.18,"
</"
CTEL,Public Utilities,Telecommunications Equipment,0.5,N/A,12.18,119.52,0.54,503.39,11.10M,40.44M,245.90M,3.64 - 13.86,"
</"
CTGX,Technology,EDP Services,22.26,0.97,0.86,N/A,3.58,0.86,25.00M,18.70M,363.60M,11.79 - 19.52,"
</"
CTHR,Consumer Durables,Consumer Specialties,39.18,N/A,0.098,N/A,1.44,3.51,2.20M,19.66M,75.30M,3.04 - 4.93,"
</"
CTIB,Basic Industries,Specialty Chemicals,34.73,N/A,0.148,N/A,1.34,0.34,3.20M,3.22M,18.70M,4.16 - 5.50,"
</"
CTIC,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.92M,76.20M,1.14 - 8.25,"
</"
CTRN,Consumer Services,Clothing/Shoe/Accessory Stores,N/A,5.71,N/A,N/A,0.97,0.29,18.40M,14.68M,189.20M,9.71 - 16.42,"
</"
CTRP,Miscellaneous,Business Services,23.47,2.59,0.844,N/A,2.84,4.15,138.00M,133.15M,2.72B,12.36 - 28.12,"
</"
CTRX,Consumer Durables,Biotechnology,75.97,1.54,0.683,N/A,2.34,1.33,306.50M,205.14M,10.98B,45.43 - 104.79,"
</"
CTSH,Technology,EDP Services,23.69,1.26,3.3,N/A,5.13,3.32,1.46B,300.19M,23.71B,53.92 - 79.54,"
</"
CTWS,Public Utilities,Water Supply,18.85,3.2,1.572,3.24,2.07,3.29,34.80M,8.85M,263.10M,26.69 - 32.31,"
</"
CTXS,Technology,Computer Software: Prepackaged Software,39.33,1.42,1.86,N/A,4.42,5.34,605.70M,188.67M,13.97B,56.57 - 87.99,"
</"
CU,,,N/A,N/A,N/A,1.71,N/A,N/A,N/A,N/A,N/A,23.65 - 35.80,"
</"
CUBA,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,2.21,1.12,63,N/A,3.71M,33.30M,6.40 - 8.87,"
</"
CUI,,,N/A,N/A,N/A,N/A,2.48,1.63,N/A,10.89M,60.00M,3.81 - 7.48,"
</"
CUNB,,,255.32,2.5,0.047,N/A,1.05,4.02,N/A,10.76M,129.10M,0.00 - 0.00,"
</"
CUTR,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,N/A,N/A,N/A,1.77,2.12,N/A,14.13M,155.57M,6.33 - 11.34,"
</"
CVBF,Finance,Major Banks,14.86,1.13,0.74,3.09,1.51,4.56,N/A,104.86M,1.19B,9.43 - 12.95,"
</"
CVCO,Basic Industries,Homebuilding,66.92,7.1,0.775,N/A,2.08,0.82,25.70M,6.97M,357.90M,40.51 - 54.11,"
</"
CVCY,Finance,Major Banks,11.89,1.46,0.75,0.56,0.78,2.33,N/A,9.60M,84.20M,6.50 - 9.25,"
</"
CVGI,Capital Goods,Auto Parts:O.E.M.,3.48,0.26,2.322,N/A,3.08,0.25,76.20M,28.17M,229.90M,6.69 - 14.00,"
</"
CVGW,Consumer Non-Durables,Farming/Seeds/Milling,21.66,1.08,1.15,2.61,3.36,0.67,34.00M,14.83M,377.00M,21.63 - 30.24,"
</"
CVLT,Technology,Computer Software: Prepackaged Software,80.01,2.73,0.959,N/A,10.98,7.44,77.60M,45.74M,3.61B,38.51 - 78.87,"
</"
CVLY,Finance,Savings Institutions,7.86,N/A,2,2.58,0.69,1.66,N/A,4.47M,71.30M,10.05 - 16.17,"
</"
CVTI,Transportation,Trucking Freight/Courier Services,15.39,4.07,0.41,N/A,0.99,0.14,71.30M,14.76M,90.50M,2.92 - 6.55,"
</"
CVV,Technology,Industrial Machinery/Components,30.9,N/A,0.376,N/A,2.2,2.57,4.40M,6.05M,74.00M,7.25 - 16.06,"
</"
CWBC,Finance,Major Banks,13.87,N/A,0.31,N/A,0.49,1.02,N/A,6.00M,28.80M,1.29 - 4.49,"
</"
CWCO,Public Utilities,Water Supply,20.32,0.81,0.44,3.36,0.99,2.09,12.20M,14.58M,133.30M,6.70 - 9.19,"
</"
CWEI,Energy,Oil & Gas Production,27.09,N/A,1.471,N/A,1.29,1.14,223.80M,12.16M,486.90M,35.32 - 98.17,"
</"
CWST,Public Utilities,Environmental Services,N/A,N/A,N/A,N/A,5.51,0.38,78.30M,38.93M,177.90M,3.76 - 7.15,"
</"
CWTR,Consumer Services,Clothing/Shoe/Accessory Stores,N/A,N/A,N/A,N/A,2.08,0.16,N/A,30.51M,112.60M,0.44 - 5.85,"
</"
CXDC,Capital Goods,Containers/Packaging,3.12,N/A,1.373,N/A,0.84,0.37,119.30M,47.55M,207.80M,3.52 - 5.80,"
</"
CXPO,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,0.81,1.17,76.00M,44.20M,143.20M,2.45 - 5.69,"
</"
CY,Technology,Semiconductors,N/A,N/A,N/A,4.28,8.04,1.92,53.30M,144.22M,1.48B,8.70 - 18.99,"
</"
CYAN,Consumer Durables,Specialty Chemicals,8.76,N/A,0.575,N/A,1.66,1.05,4.90M,5.46M,27.50M,4.50 - 11.84,"
</"
CYBE,Capital Goods,Electronic Components,156.25,N/A,0.048,N/A,0.97,1.05,1.70M,6.96M,51.50M,6.06 - 10.21,"
</"
CYBI,Consumer Non-Durables,Recreational Products/Toys,1.24,N/A,2.039,N/A,2.11,0.3,10.90M,17.15M,43.40M,0.55 - 3.60,"
</"
CYBX,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,29.12,1.37,1.489,N/A,5.87,5.11,76.90M,27.71M,1.23B,33.48 - 56.73,"
</"
CYCC,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,3.53,805.13,N/A,9.31M,50.10M,2.73 - 8.18,"
</"
CYCCP,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,1.49,6.4,1461.76,N/A,9.31M,95.10M,2.06 - 10.45,"
</"
CYMI,Technology,Industrial Machinery/Components,61.15,11.3,1.684,N/A,3.91,5.49,85.60M,31.13M,3.29B,45.05 - 104.80,"
</"
CYNO,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,43.49,0.4,0.614,N/A,2.6,2.45,18.10M,13.30M,369.20M,13.20 - 28.00,"
</"
CYOU,Technology,Computer Software: Prepackaged Software,5.78,0.67,5.33,12.34,3.1,2.7,397.20M,52.88M,1.66B,17.00 - 32.65,"
</"
CYTK,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,2.08,27.4,N/A,142.44M,169.50M,0.57 - 1.29,"
</"
CYTR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,12.15,653.97,N/A,30.41M,67.50M,1.59 - 5.50,"
</"
CYTX,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,N/A,16.1,N/A,58.84M,167.10M,2.01 - 4.93,"
</"
CYTXW,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.86 - 2.73,"
</"
CZFC,Finance,Major Banks,8.38,N/A,1.11,N/A,0.67,1.12,N/A,1.97M,19.00M,6.72 - 9.45,"
</"
CZNC,Finance,Major Banks,10.76,N/A,1.85,4.57,1.34,3.68,N/A,12.27M,243.60M,16.79 - 22.48,"
</"
CZR,,,N/A,N/A,N/A,N/A,30.15,0.11,1.92B,125.31M,978.70M,4.52 - 17.90,"
</"
CZWI,Finance,Savings Institutions,37.13,N/A,0.171,N/A,0.59,1.74,N/A,5.14M,33.90M,5.00 - 6.35,"
</"
DAEG,,,N/A,N/A,N/A,N/A,2.83,0.45,3.00M,14.75M,17.70M,0.64 - 1.95,"
</"
DAIO,Capital Goods,Electrical Products,N/A,N/A,N/A,N/A,0.74,0.71,N/A,7.84M,13.80M,1.39 - 4.39,"
</"
DAKT,Consumer Durables,Miscellaneous manufacturing industries,25.84,1.99,0.459,6.16,2.41,0.97,43.10M,42.26M,509.70M,6.32 - 12.00,"
</"
DARA,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,1.64,N/A,N/A,18.68M,21.30M,0.62 - 2.77,"
</"
DATE,,,27.3,0.89,0.196,N/A,1.9,2.65,7.80M,30.76M,170.40M,3.60 - 7.95,"
</"
DAVE,Consumer Services,Restaurants,18.4,1.42,0.513,N/A,2.11,0.45,12.80M,7.51M,71.50M,7.75 - 12.08,"
</"
DBLE,Energy,Oil & Gas Production,N/A,N/A,N/A,N/A,1.21,1.73,18.70M,11.29M,55.00M,3.74 - 7.51,"
</"
DBLEP,Energy,Oil & Gas Production,N/A,N/A,N/A,8.9,6.18,8.85,18.70M,11.29M,288.70M,24.80 - 28.98,"
</"
DCIN,,,N/A,N/A,N/A,N/A,1.92,3.13,N/A,5.41M,31.40M,0.00 - 0.00,"
</"
DCIX,Transportation,Marine Transportation,25.31,3.44,0.275,14.37,0.9,4.33,20.70M,32.19M,226.30M,5.10 - 7.88,"
</"
DCOM,Finance,Savings Institutions,11.8,N/A,1.17,3.04,1.25,3.77,N/A,35.45M,494.18M,12.56 - 15.01,"
</"
DCTH,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,4.44,776.47,N/A,75.10M,113.40M,1.01 - 4.74,"
</"
DECK,Consumer Non-Durables,Shoe Manufacturing,9.83,1.55,4.063,N/A,2.07,1.01,257.80M,35.27M,1.41B,28.53 - 92.27,"
</"
DELL,Technology,Computer Manufacturing,9.01,0.9,1.469,1.21,2.26,0.39,4.44B,1.74B,23.68B,8.69 - 18.36,"
</"
DENN,Consumer Services,Restaurants,4.56,1,1.11,N/A,843.33,0.94,81.20M,93.74M,481.80M,3.79 - 5.39,"
</"
DEPO,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,4.59,5.15,N/A,56.10M,393.80M,4.75 - 7.15,"
</"
DEST,Consumer Services,Clothing/Shoe/Accessory Stores,15.6,0.89,1.46,3.07,2.9,0.57,47.50M,13.49M,314.10M,15.25 - 23.15,"
</"
DFR,Finance,Finance: Consumer Services,N/A,N/A,N/A,N/A,0.63,15.75,N/A,20.71M,187.40M,4.16 - 8.98,"
</"
DFRG,,,22.36,1.17,0.707,N/A,2.21,1.66,37.60M,23.79M,371.40M,0.00 - 0.00,"
</"
DFZ,Consumer Non-Durables,Shoe Manufacturing,11.11,0.85,1.204,3.06,1.89,0.99,24.90M,11.26M,147.10M,11.23 - 15.62,"
</"
DGAS,Public Utilities,Oil & Gas Production,20.91,5,0.942,3.6,2.06,1.86,18.90M,6.84M,137.30M,16.88 - 24.82,"
</"
DGICA,Finance,Property-Casualty Insurers,21.28,2.09,0.618,3.73,0.84,0.66,24.60M,25.64M,353.00M,12.25 - 16.00,"
</"
DGICB,Finance,Property-Casualty Insurers,30.52,N/A,0.618,2.33,1.2,0.95,24.60M,25.64M,483.60M,14.62 - 23.73,"
</"
DGII,Technology,Computer Communications Equipment,31.61,1.41,0.31,N/A,0.93,1.34,20.50M,26.19M,260.60M,8.12 - 12.58,"
</"
DGIT,Miscellaneous,Business Services,N/A,N/A,N/A,N/A,0.9,0.71,112.10M,27.63M,270.80M,7.51 - 15.65,"
</"
DGLY,Technology,Radio And Television Broadcasting And Communications Equipment,N/A,N/A,N/A,N/A,1.02,0.49,N/A,2.03M,7.30M,0.29 - 7.00,"
</"
DHFT,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,6.05,1.11,53.15,N/A,3.97M,49.90M,9.36 - 12.55,"
</"
DHIL,Finance,Investment Managers,13.42,N/A,5.391,11.06,5.59,3.53,24.50M,3.16M,230.70M,62.05 - 83.90,"
</"
DHRM,Health Care,Medical/Dental Instruments,3.45,N/A,0.568,N/A,0.28,0.43,4.10M,4.62M,9.00M,1.47 - 3.95,"
</"
DIOD,Technology,Semiconductors,38.19,2.67,0.498,N/A,1.31,1.43,85.70M,46.01M,880.20M,12.95 - 27.57,"
</"
DISCA,Consumer Services,Television Services,25.36,1.18,2.736,N/A,4.08,5.79,1.97B,372.00M,26.16B,42.79 - 69.64,"
</"
DISCB,Consumer Services,Television Services,25.38,0.92,2.736,N/A,4.08,5.79,1.97B,372.00M,26.00B,46.45 - 69.45,"
</"
DISCK,Consumer Services,Television Services,23.29,N/A,2.736,N/A,3.74,5.31,1.97B,372.01M,23.88B,39.04 - 63.87,"
</"
DISH,Consumer Services,Television Services,22.75,6.54,1.638,2.68,153.97,1.18,3.07B,451.43M,17.01B,26.12 - 38.10,"
</"
DJCO,Consumer Services,Newspapers/Magazines,24.78,N/A,4.013,N/A,1.57,4.31,9.20M,1.38M,136.20M,70.01 - 107.35,"
</"
DLGC,Technology,EDP Services,N/A,N/A,N/A,N/A,N/A,0.19,N/A,14.39M,35.10M,1.25 - 8.00,"
</"
DLHC,,,N/A,N/A,N/A,N/A,1.34,0.21,N/A,9.27M,10.10M,0.00 - 0.00,"
</"
DLIA,Consumer Services,Catalog/Specialty Distribution,N/A,N/A,N/A,N/A,0.63,0.15,N/A,31.67M,32.30M,0.95 - 1.62,"
</"
DLLR,Finance,Investment Bankers/Brokers/Service,15.27,0.46,1.261,N/A,1.69,0.75,318.90M,42.80M,828.20M,15.06 - 20.50,"
</"
DLTR,Consumer Services,Department/Specialty Retail Stores,16.07,0.95,2.489,N/A,5.9,1.28,1.03B,227.22M,9.12B,37.12 - 56.82,"
</"
DMLP,Energy,Oil & Gas Production,18.96,N/A,1.174,7.97,5.85,10.77,54.80M,30.67M,704.60M,19.87 - 26.60,"
</"
DMND,Consumer Non-Durables,Packaged Foods,N/A,4.08,N/A,N/A,0.98,0.33,33.00M,22.07M,314.70M,12.85 - 38.62,"
</"
DMRC,Technology,EDP Services,21.07,1.05,1.016,1.54,2.85,3.3,14.70M,6.77M,145.70M,17.68 - 32.10,"
</"
DNBF,Finance,Major Banks,9.19,N/A,1.79,1.22,0.79,1.82,N/A,2.72M,44.80M,11.60 - 16.75,"
</"
DNDN,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,15.23,1.99,N/A,149.66M,890.50M,3.69 - 17.04,"
</"
DNKN,,,81.31,1.41,0.449,1.64,12.1,5.8,298.20M,105.56M,3.88B,27.36 - 40.00,"
</"
DORM,Capital Goods,Auto Parts:O.E.M.,17.49,N/A,1.98,4.33,3.37,2.14,112.60M,36.25M,1.29B,21.33 - 37.19,"
</"
DOVR,Consumer Services,Other Specialty Stores,16.24,N/A,0.229,N/A,1.54,0.24,3.90M,5.32M,19.90M,3.04 - 4.80,"
</"
DRAD,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,N/A,N/A,N/A,0.93,0.72,N/A,19.09M,35.70M,1.72 - 2.44,"
</"
DRAM,Technology,Electronic Components,N/A,N/A,N/A,N/A,0.83,0.15,N/A,10.56M,3.80M,0.30 - 1.13,"
</"
DRCO,Technology,EDP Services,N/A,1.76,N/A,N/A,0.78,0.21,35.20M,10.34M,70.80M,4.84 - 11.95,"
</"
DRIV,Technology,Retail: Computer Software & Peripheral Equipment,57.39,1.49,0.253,N/A,0.75,1.2,52.40M,32.68M,489.60M,12.87 - 19.10,"
</"
DRRX,Consumer Durables,Major Pharmaceuticals,4.89,0.28,0.223,N/A,3.29,1.63,21.00M,87.82M,96.60M,0.61 - 1.71,"
</"
DRTX,,,N/A,N/A,N/A,N/A,2.46,N/A,N/A,18.37M,143.50M,0.00 - 0.00,"
</"
